seed,horizon,budget,exploration_param,gamma,steps
4839634,24,125893,32,0.95,200
4839635,30,1000,32,0.95,22
4839635,16,125893,8,0.9,200
4839634,12,1995,16,1.0,21
4839635,36,1000000,32,0.95,200
4839634,12,794328,32,0.9,53
4839634,20,25119,8,0.95,200
4839635,18,398107,16,0.9,200
4839635,40,501187,8,1.0,144
4839635,18,15849,16,0.95,200
4839634,28,6310,32,0.9,22
4839635,32,158489,32,1.0,200
4839635,38,12589,32,0.95,33
4839634,32,19953,32,0.9,30
4839635,22,25119,32,0.95,96
4839634,10,125893,8,1.0,176
4839634,22,19953,8,0.9,200
4839635,24,3162,32,1.0,41
4839635,14,7943,8,0.9,96
4839634,32,63096,8,0.95,200
4839634,36,39811,16,0.9,124
4839635,22,1585,8,0.95,73
4839635,36,39811,8,0.95,200
4839635,40,3162,32,0.9,23
4839634,34,630957,32,0.95,196
4839635,28,630957,32,0.9,200
4839634,18,25119,32,0.95,84
4839635,16,19953,8,0.95,168
4839635,20,7943,16,0.9,47
4839634,14,1259,8,0.95,29
4839634,30,10000,16,0.95,25
4839634,30,251189,8,0.9,200
4839635,30,251189,16,1.0,200
4839634,28,10000,32,0.9,39
4839635,14,6310,8,0.9,52
4839634,16,25119,16,0.9,178
4839634,22,3981,32,0.9,15
4839634,20,1995,32,1.0,16
4839635,38,1585,32,0.95,13
4839634,26,2512,16,0.95,53
4839634,28,3981,32,1.0,100
4839634,22,398107,8,1.0,187
4839634,24,1995,32,1.0,20
4839634,14,10000,16,0.95,21
4839634,22,63096,16,0.9,200
4839635,38,15849,32,0.95,110
4839634,10,19953,16,0.9,22
4839635,10,199526,8,0.9,76
4839635,32,10000,16,0.9,49
4839634,18,1585,16,0.9,29
4839634,12,501187,32,0.9,176
4839634,18,50119,16,0.9,137
4839634,22,1259,32,0.9,14
4839635,10,1995,16,1.0,56
4839635,14,25119,16,0.95,123
4839634,22,6310,32,0.95,40
4839634,10,794328,16,1.0,200
4839635,32,39811,16,0.95,200
4839635,24,100000,32,0.9,25
4839635,12,100000,32,0.95,104
4839634,16,630957,32,0.95,200
4839635,10,50119,16,1.0,200
4839635,28,31623,32,0.95,58
4839635,12,25119,32,1.0,200
4839635,40,5012,16,1.0,200
4839635,16,1585,8,1.0,63
4839634,38,63096,32,0.95,200
4839634,22,1585,8,1.0,36
4839635,30,6310,16,0.9,43
4839634,16,15849,32,0.9,21
4839635,34,6310,16,0.9,24
4839635,14,10000,8,1.0,200
4839634,36,50119,16,1.0,200
4839634,22,12589,8,0.9,62
4839634,40,630957,8,0.9,200
4839634,14,794328,8,0.9,165
4839634,32,630957,32,0.95,200
4839634,36,50119,32,1.0,200
4839634,28,1000,8,0.9,28
4839635,36,15849,8,1.0,200
4839634,22,630957,8,0.95,200
4839634,30,125893,32,0.9,45
4839635,24,158489,32,1.0,200
4839635,22,3162,8,1.0,143
4839635,14,125893,8,0.9,200
4839634,18,6310,8,0.9,30
4839635,10,63096,32,0.95,87
4839634,26,1995,8,0.9,27
4839634,26,125893,32,0.95,200
4839634,10,1000000,16,0.95,184
4839634,38,1995,8,1.0,26
4839634,14,794328,32,1.0,200
4839635,10,199526,16,0.9,59
4839635,34,3981,16,0.9,27
4839635,28,15849,8,0.95,200
4839634,38,10000,8,0.9,172
4839634,34,5012,8,1.0,60
4839634,40,3981,16,0.95,20
4839634,20,158489,16,0.95,200
4839635,28,1000000,32,0.9,200
4839634,40,1000,32,0.9,13
4839635,34,1259,16,1.0,20
4839635,12,39811,32,1.0,200
4839634,18,3162,32,1.0,104
4839634,30,1259,8,0.9,23
4839635,28,10000,16,1.0,200
4839635,10,1585,16,0.95,31
4839635,12,50119,8,1.0,163
4839635,20,25119,16,0.9,69
4839635,16,630957,32,1.0,200
4839635,16,79433,16,0.9,200
4839634,22,3162,32,1.0,29
4839635,40,251189,32,0.9,139
4839635,22,630957,8,0.9,200
4839634,34,3981,32,1.0,105
4839634,24,1259,16,0.95,37
4839634,26,7943,32,0.9,33
4839635,30,31623,32,1.0,200
4839635,38,100000,32,0.9,32
4839635,10,316228,8,0.9,121
4839635,30,63096,8,1.0,200
4839635,28,630957,32,0.95,200
4839634,28,12589,16,0.9,13
4839634,24,25119,32,1.0,200
4839635,24,31623,16,0.95,200
4839634,40,1259,8,0.95,93
4839635,16,1995,16,1.0,43
4839634,30,7943,8,1.0,200
4839635,18,158489,8,0.9,200
4839635,16,79433,16,0.95,200
4839635,28,10000,8,0.95,200
4839634,34,199526,32,1.0,200
4839635,14,1995,16,0.9,21
4839634,34,1259,32,0.95,16
4839635,14,1585,16,1.0,40
4839634,12,1259,8,0.95,21
4839635,18,100000,16,1.0,200
4839634,16,6310,32,1.0,31
4839635,16,31623,16,0.9,82
4839634,18,1000,32,0.95,14
4839634,36,10000,8,0.9,19
4839635,14,3162,32,1.0,88
4839634,24,1259,32,0.9,8
4839635,30,794328,8,1.0,200
4839634,16,19953,8,0.9,40
4839634,36,10000,32,0.95,56
4839635,40,6310,32,1.0,58
4839634,28,1259,16,0.9,13
4839634,38,19953,8,0.9,200
4839634,26,501187,8,0.95,200
4839634,24,630957,32,1.0,200
4839635,18,3981,32,0.9,28
4839634,30,15849,16,0.9,29
4839635,32,630957,16,0.95,200
4839635,40,12589,32,1.0,151
4839635,12,1000,32,1.0,18
4839634,24,1000,8,0.95,65
4839634,16,398107,32,0.9,200
4839635,20,15849,16,0.95,43
4839635,36,6310,16,0.9,10
4839634,38,1259,16,0.9,13
4839634,12,1585,16,0.95,29
4839635,20,630957,8,1.0,200
4839635,24,199526,16,1.0,200
4839634,40,199526,8,0.95,200
4839634,18,1000000,32,0.9,200
4839634,32,12589,16,1.0,200
4839634,16,501187,8,0.95,200
4839635,14,100000,32,0.95,200
4839634,20,2512,32,1.0,16
4839635,14,158489,32,0.95,200
4839634,38,1585,32,1.0,33
4839635,18,12589,32,1.0,200
4839635,20,15849,32,0.9,21
4839634,10,3162,32,0.9,25
4839634,14,1000000,32,1.0,200
4839634,22,3981,8,1.0,101
4839635,10,794328,16,0.95,175
4839635,22,630957,32,0.9,200
4839634,28,10000,8,1.0,155
4839634,20,158489,32,0.9,50
4839634,40,5012,16,0.9,22
4839635,12,63096,16,0.95,200
4839634,20,15849,32,0.95,40
4839635,38,100000,32,1.0,200
4839634,22,2512,32,0.95,17
4839635,26,5012,8,0.9,40
4839635,10,12589,8,1.0,67
4839634,24,251189,32,0.95,200
4839635,24,7943,8,0.9,136
4839634,24,79433,16,1.0,200
4839634,14,12589,8,0.9,27
4839635,34,1000,32,0.95,12
4839634,14,3981,8,0.95,131
4839635,36,15849,16,1.0,195
4839634,14,5012,16,1.0,154
4839635,38,25119,16,0.95,200
4839634,22,794328,8,0.95,200
4839634,20,3162,32,1.0,47
4839635,22,1000000,32,0.9,200
4839634,10,501187,16,0.95,136
4839634,32,1585,8,1.0,30
4839635,12,1995,16,0.95,41
4839635,36,398107,8,0.95,200
4839635,16,6310,8,0.95,66
4839635,22,3981,32,1.0,25
4839635,26,50119,32,0.9,32
4839634,32,630957,8,0.95,200
4839634,28,25119,32,0.9,45
4839635,34,39811,16,0.95,200
4839635,24,1259,16,0.9,25
4839635,32,25119,16,0.9,62
4839635,40,316228,32,0.9,173
4839634,38,794328,8,1.0,200
4839635,32,1000,32,1.0,20
4839635,16,100000,8,0.95,200
4839635,10,1259,32,0.95,17
4839635,32,2512,16,0.95,38
4839635,30,630957,32,0.9,200
4839635,26,199526,16,0.9,200
4839635,34,398107,8,0.95,200
4839634,28,100000,32,0.9,30
4839635,10,7943,32,0.9,36
4839634,22,251189,8,0.9,200
4839635,32,5012,8,0.9,34
4839635,28,6310,32,0.95,39
4839634,28,63096,8,0.95,200
4839634,20,39811,32,0.9,30
4839635,16,398107,16,0.9,200
4839634,40,3981,8,1.0,39
4839634,32,15849,32,0.95,34
4839634,22,12589,16,0.95,198
4839635,16,5012,8,1.0,161
4839634,28,15849,32,0.9,20
4839634,22,630957,32,1.0,200
4839634,34,7943,16,0.95,69
4839634,16,316228,32,1.0,200
4839635,40,100000,8,0.95,200
4839634,14,630957,8,0.95,200
4839634,34,10000,32,0.9,21
4839634,34,2512,16,0.9,55
4839634,28,1585,32,0.95,16
4839635,10,251189,32,0.9,50
4839634,10,158489,8,0.9,28
4839634,14,251189,32,0.9,74
4839634,26,39811,32,0.9,15
4839635,36,12589,16,1.0,200
4839634,36,15849,32,1.0,200
4839634,40,5012,16,0.95,37
4839634,12,15849,32,1.0,112
4839635,16,3162,8,1.0,134
4839634,18,19953,16,1.0,200
4839635,32,1995,32,0.9,7
4839634,16,25119,16,0.95,200
4839635,16,3981,32,0.9,27
4839634,16,50119,8,0.95,200
4839635,24,794328,16,0.9,200
4839634,32,1995,32,0.95,14
4839634,12,316228,16,0.9,147
4839635,32,199526,8,1.0,152
4839635,16,10000,8,1.0,200
4839634,26,501187,8,0.9,200
4839635,12,158489,32,0.9,72
4839635,32,25119,16,0.95,200
4839635,12,125893,8,0.9,200
4839634,38,79433,8,0.9,200
4839635,24,63096,32,0.95,200
4839635,14,630957,16,1.0,200
4839635,32,1000,8,0.95,58
4839634,24,2512,8,1.0,200
4839634,22,1000,16,1.0,52
4839635,30,3162,32,1.0,48
4839635,26,79433,32,0.95,200
4839634,38,100000,16,0.95,200
4839635,26,251189,16,0.95,200
4839634,40,158489,16,1.0,200
4839635,34,1000000,8,0.95,200
4839634,10,1000,32,0.9,9
4839635,34,3162,8,0.9,36
4839635,22,1995,32,0.9,24
4839634,24,158489,32,0.95,200
4839635,12,630957,32,0.95,200
4839635,20,630957,32,0.95,200
4839634,34,7943,16,1.0,200
4839635,16,50119,32,1.0,84
4839634,22,1000,32,0.9,41
4839635,38,3162,16,0.9,24
4839635,14,1259,16,0.9,61
4839634,16,10000,32,0.95,51
4839635,10,2512,8,1.0,98
4839634,28,1259,32,0.95,18
4839635,12,3162,16,0.9,43
4839634,10,79433,8,0.9,46
4839635,38,1259,16,0.9,31
4839634,36,158489,32,0.9,34
4839635,28,5012,16,1.0,44
4839635,12,630957,32,0.9,73
4839635,12,79433,32,1.0,200
4839634,26,12589,32,0.9,23
4839634,40,398107,32,0.95,200
4839634,32,63096,8,0.9,200
4839634,32,15849,16,0.95,104
4839635,14,12589,8,0.9,69
4839635,18,794328,8,1.0,200
4839635,18,2512,32,0.9,30
4839635,10,15849,8,0.95,121
4839635,18,794328,32,0.95,200
4839635,20,10000,16,0.9,80
4839634,12,501187,32,0.95,200
4839635,22,10000,32,0.9,36
4839635,12,251189,8,1.0,200
4839634,26,1995,16,0.95,19
4839634,36,1585,8,0.9,18
4839634,34,100000,16,0.95,200
4839635,22,316228,32,0.95,200
4839634,38,7943,8,0.9,92
4839634,40,12589,8,0.9,84
4839634,38,10000,32,0.9,25
4839635,34,10000,16,1.0,200
4839635,16,158489,16,0.9,200
4839635,16,1000,16,1.0,72
4839634,10,1259,32,0.95,64
4839634,34,50119,8,0.95,200
4839634,32,100000,16,0.95,200
4839635,22,5012,8,0.95,200
4839635,28,316228,16,0.95,200
4839634,34,100000,16,0.9,73
4839635,34,251189,8,0.9,200
4839634,16,19953,32,0.9,17
4839634,24,1259,32,0.95,20
4839634,22,100000,32,0.9,89
4839634,32,199526,32,0.9,194
4839634,38,12589,8,1.0,168
4839635,14,6310,8,1.0,136
4839635,36,158489,8,0.9,200
4839635,32,12589,8,0.95,200
4839635,34,501187,16,0.9,200
4839634,12,100000,8,1.0,200
4839634,16,10000,8,0.9,69
4839635,18,501187,8,1.0,200
4839634,12,794328,32,0.95,200
4839634,12,630957,16,1.0,200
4839634,20,125893,32,0.9,59
4839635,30,199526,16,0.95,200
4839634,12,3162,32,1.0,18
4839634,20,5012,16,0.95,16
4839634,34,39811,32,1.0,200
4839635,34,2512,8,1.0,29
4839634,22,1585,16,0.9,21
4839635,32,19953,8,1.0,200
4839635,10,7943,8,0.9,61
4839634,32,1000000,32,1.0,200
4839635,16,501187,16,0.9,200
4839634,22,1000000,16,1.0,200
4839634,32,501187,16,0.9,200
4839634,20,501187,8,1.0,200
4839634,16,39811,16,0.95,24
4839634,20,19953,32,0.9,16
4839635,30,158489,8,1.0,140
4839634,40,3162,8,0.95,45
4839635,12,1000,32,0.95,38
4839635,40,1000000,16,0.95,200
4839635,14,31623,8,1.0,200
4839634,38,39811,8,0.95,41
4839634,24,398107,8,0.95,200
4839634,18,100000,16,0.9,200
4839635,36,79433,8,1.0,200
4839635,22,12589,16,1.0,200
4839635,40,1995,32,1.0,27
4839634,34,630957,8,0.95,200
4839635,34,251189,16,0.9,200
4839635,16,7943,16,0.95,40
4839635,22,1585,32,0.9,20
4839635,12,2512,32,0.95,25
4839635,34,63096,32,0.95,176
