seed,horizon,budget,exploration_param,gamma,steps
4839643,38,5012,16,0.95,30
4839643,20,10000,32,1.0,49
4839643,14,39811,16,0.95,159
4839643,28,3981,32,0.9,15
4839643,20,79433,16,0.9,137
4839643,32,1585,16,0.9,26
4839643,30,2512,16,1.0,103
4839643,38,79433,16,0.95,500
4839643,22,199526,32,0.9,127
4839643,30,158489,16,0.9,500
4839643,26,100000,32,0.95,318
4839643,22,501187,32,1.0,500
4839643,20,316228,32,0.95,500
4839643,12,2512,32,0.9,36
4839643,32,501187,16,1.0,500
4839643,20,2512,16,0.95,25
4839643,32,63096,32,1.0,367
4839643,40,25119,16,0.9,34
4839643,26,15849,16,1.0,311
4839643,16,501187,32,0.9,115
4839643,18,501187,16,0.95,500
4839643,18,63096,32,1.0,500
4839643,26,6310,32,0.95,24
4839643,40,199526,16,0.9,491
4839643,16,630957,16,1.0,500
4839643,14,50119,32,0.95,51
4839643,22,158489,16,0.9,327
4839643,38,794328,16,1.0,397
4839643,10,1000,32,0.9,25
4839643,40,12589,16,1.0,330
4839643,18,31623,32,0.95,66
4839643,38,63096,16,0.95,435
4839643,26,1995,16,1.0,97
4839643,18,63096,16,0.95,500
4839643,12,158489,32,0.95,33
4839643,28,3162,16,1.0,68
4839643,34,100000,16,0.95,500
4839643,38,1259,32,0.95,29
4839643,24,501187,32,0.95,500
4839643,30,125893,16,0.95,500
4839643,16,19953,16,1.0,500
4839643,34,12589,16,0.9,26
4839643,12,199526,16,1.0,500
4839643,16,25119,32,0.95,55
4839643,16,6310,32,0.9,42
4839643,10,316228,16,0.95,94
4839643,18,2512,16,0.95,36
4839643,18,3981,32,1.0,83
4839643,38,12589,32,1.0,170
4839643,28,25119,16,0.95,284
4839643,10,125893,16,0.95,78
4839643,28,31623,32,1.0,500
4839643,26,794328,32,0.9,500
4839643,20,501187,16,0.9,500
4839643,18,316228,16,0.95,500
4839643,26,1995,32,0.9,16
4839643,24,63096,32,0.95,62
4839643,34,1000000,32,0.95,500
4839643,26,12589,16,0.95,55
4839643,30,100000,16,0.95,500
4839643,20,158489,32,0.95,500
4839643,14,12589,32,1.0,82
4839643,14,31623,16,0.95,116
4839643,14,31623,16,1.0,500
4839643,18,251189,16,0.95,500
4839643,24,1259,32,0.95,21
4839643,30,63096,16,0.9,198
4839643,24,398107,32,0.95,500
4839643,18,1995,16,0.9,27
4839643,20,50119,32,1.0,435
4839643,14,7943,32,1.0,58
4839643,36,158489,16,1.0,500
4839643,32,1000000,16,0.95,500
4839643,24,19953,32,1.0,500
4839643,10,31623,32,0.9,38
4839643,32,79433,16,1.0,367
4839643,36,3162,32,0.95,25
4839643,10,3162,32,0.95,14
4839643,20,1259,32,0.95,21
4839643,36,12589,16,0.95,286
4839643,26,1259,16,1.0,88
4839643,32,50119,32,1.0,500
4839643,40,19953,16,0.9,43
4839643,22,316228,32,0.95,481
4839643,10,1995,16,0.95,24
4839643,32,316228,16,0.9,489
4839643,14,6310,32,0.9,71
4839643,22,15849,16,0.95,430
4839643,18,398107,16,0.95,498
4839643,28,50119,16,0.9,86
4839643,14,2512,32,0.9,17
4839643,38,25119,32,1.0,319
4839643,36,31623,16,1.0,291
4839643,32,1259,16,0.95,29
4839643,34,31623,32,0.9,37
4839643,14,794328,32,0.95,307
4839643,22,12589,32,1.0,184
4839643,34,31623,32,1.0,500
4839643,16,794328,32,0.9,206
4839643,36,15849,32,0.95,54
4839643,22,1000,32,0.9,10
4839643,18,125893,16,0.95,500
4839643,38,31623,16,0.95,233
4839643,32,125893,16,1.0,424
4839643,30,79433,16,0.9,56
4839643,34,630957,32,1.0,500
4839643,34,1259,16,0.9,19
4839643,14,251189,32,1.0,500
4839643,34,5012,16,1.0,320
4839643,12,398107,16,0.95,123
4839643,32,3981,32,0.95,19
4839643,10,794328,32,0.9,41
4839643,36,794328,16,1.0,458
4839643,24,1585,32,0.9,11
4839643,22,31623,32,0.9,55
4839643,18,31623,32,1.0,105
4839643,12,630957,32,1.0,370
4839643,32,794328,32,0.95,500
4839643,28,2512,16,0.95,31
4839643,22,199526,32,0.95,500
4839643,22,1000000,32,0.9,411
4839643,12,63096,32,1.0,120
4839643,40,19953,32,0.95,82
4839643,32,398107,32,1.0,490
4839643,30,199526,16,0.95,460
4839643,20,1585,32,0.95,20
4839643,36,2512,16,0.95,30
4839643,36,125893,16,0.95,500
4839643,26,6310,16,1.0,140
4839643,32,794328,32,0.9,432
4839643,18,630957,32,1.0,500
4839643,36,15849,16,0.9,27
4839643,22,794328,16,1.0,500
4839643,20,3162,16,0.9,26
4839643,26,39811,16,1.0,282
4839643,14,31623,32,1.0,115
4839643,24,50119,32,0.9,39
4839643,14,3162,32,0.95,20
4839643,18,125893,32,1.0,500
4839643,38,2512,16,0.9,16
4839643,34,6310,16,0.9,32
4839643,12,100000,32,1.0,249
4839643,14,3981,16,0.9,23
4839643,10,7943,16,0.9,56
4839643,34,79433,32,0.9,34
4839643,12,1995,16,1.0,37
4839643,40,501187,32,1.0,500
4839643,26,39811,32,0.95,98
4839643,40,15849,16,0.95,24
4839643,38,199526,32,0.9,90
4839643,26,251189,32,0.9,194
4839643,12,3162,16,0.9,42
4839643,12,1995,16,0.95,40
4839643,18,7943,32,1.0,64
4839643,28,1000000,32,0.9,500
4839643,28,79433,32,1.0,467
4839643,14,10000,32,0.9,35
4839643,36,10000,32,0.95,15
4839643,18,630957,32,0.9,432
4839643,30,199526,32,1.0,500
